word	sth	binarySentiment	smallScaleSentiment	bigScaleSentiment	SO-PMI_score
kalesony	c	0	0	0	-2.0
zagroda	c	0	0	0	1.0
kott	c	1	1	0	-1.0
związań	c	0	0	0	-1.0
wpatrzyć	m	0	0	0	1.5
mnóstwo	c	1	-1	1	2.1
ideologiczny	m	1	-1	1	2.3
miodny	m	0	1	0	-1.0
katowice	c	1	1	0	-1.0
badać	c	0	-1	-2	-4.6
średni	c	0	0	0	-0.7
ewentualnie	c	0	-1	0	-1.0
ufny	m	1	1	-1	-1.8
czymś	c	1	1	0	-1.0
sieć	c	0	0	0	0.8
zasilać	c	0	0	0	-2.0
kota	c	0	1	0	2.8
kupa	c	0	0	0	2.4
spadkodawca	c	0	1	-1	-1.0
następca	c	1	0	0	-4.3
tani	m	1	1	1	-0.6
słabo	m	1	-1	0	-4.3
fajka	c	1	-1	0	1.0
aktualizacja	c	0	0	0	1.3
zidentyfikować	c	0	0	-1	-4.2
wiara	c	1	1	0	5.0
nowy	m	0	1	0	6.5
trzeźwy	c	0	-1	-1	-4.4
kredyt	c	0	1	0	-1.8
kupy	c	1	1	0	-1.0
domyślny	m	0	0	0	-1.0
syrop	c	0	0	0	-1.0
stodoła	c	1	1	0	-0.0
szóstka	c	0	0	0	-5.4
paternalistyczny	m	1	-1	-1	-1.0
strasznie	m	1	1	1	-5.5
twardy	m	1	-1	0	0.6
restrykcyjnie	m	1	-1	-1	-1.0
ustępować	c	1	-1	2	-8.2
posiadać	c	0	1	-1	2.0
samodzielny	m	1	1	0	-2.6
cierpliwy	m	1	1	1	-4.0
opuchnąć	c	1	1	1	-4.9
brać	c	0	0	0	3.8
jedynie	c	0	-1	0	3.9
mityczny	c	1	-1	-1	1.5
usłać	c	0	1	1	-1.0
pożyteczny	m	1	1	1	-4.6
patologiczny	c	0	-1	-1	-9.3
ciasto	c	1	1	0	3.5
straszliwie	m	1	-1	-1	-7.4
kosmetyczny	m	0	1	0	0.4
kompletny	c	0	1	0	-1.8
odpowiedni	m	1	-1	-1	-1.7
ochronny	m	0	0	0	-3.9
rozkoszny	m	1	-1	-2	-3.9
kotek	c	1	1	0	0.5
schematyczny	m	0	-1	0	1.5
